,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Opel,Omega,Omega Caravan,KARAVAN,ROČNI,BENCIN,,5.0,136.0,100.0,2.0,https://www.avto.net/Ads/details.asp?id=17749065&display=Opel%20Omega,Opel Omega GL 2.0i 16V,1994,185000,2300.0,avtonet,19832.0,1952.0
1,Opel,Omega,Omega Caravan,KARAVAN,ROČNI,BENCIN,,5.0,116.0,85.0,1.998,https://www.avto.net/Ads/details.asp?id=17675259&display=Opel%20Omega,Opel Omega ,1996,170174,880.0,avtonet,19832.0,1952.0
2,Opel,Rekord,Rekord Caravan,KARAVAN,ROČNI,BENCIN,,4.0,101.0,74.0,1.979,https://www.avto.net/Ads/details.asp?id=15702108&display=Opel%20Rekord,Opel Rekord 2.0,1981,200005,2990.0,avtonet,19885.0,1954.0
3,Opel,Signum,Signum,HATCHBACK,AVTOMATSKI,DIEZEL,,6.0,150.0,110.0,1.91,https://www.avto.net/Ads/details.asp?id=17773089&display=Opel%20Signum,Opel Signum 1.9CDTI 110KW AUTO COSMO,2007,220000,2700.0,avtonet,19914.0,1957.0
4,Opel,Signum,Signum,HATCHBACK,ROČNI,DIEZEL,,6.0,120.0,88.0,1.91,https://www.avto.net/Ads/details.asp?id=17737426&display=Opel%20Signum,Opel Signum 1.9CDTI 88KW ELEGANCE,2006,230000,2490.0,avtonet,19914.0,1957.0
5,Opel,Signum,Signum,HATCHBACK,ROČNI,DIEZEL,,5.0,125.0,92.0,2.171,https://www.avto.net/Ads/details.asp?id=17701080&display=Opel%20Signum,Opel Signum 2.2DTI,2004,253500,499.0,avtonet,19925.0,1957.0
6,Opel,Signum,Signum,HATCHBACK,ROČNI,DIEZEL,,5.0,131.0,96.0,2.172,https://www.avto.net/Ads/details.asp?id=17672767&display=Opel%20Signum,Opel Signum ,2003,280000,1200.0,avtonet,19925.0,1957.0
7,Opel,Signum,Signum,HATCHBACK,ROČNI,DIEZEL,,5.0,125.0,92.0,2.172,https://www.avto.net/Ads/details.asp?id=15177029&display=Opel%20Signum,Opel Signum 2.2 DTI 16V Elegance,2004,240000,2400.0,avtonet,19925.0,1957.0
8,Opel,Tigra,Tigra Twin Top,HATCHBACK,ROČNI,BENCIN,,5.0,90.0,66.0,1.364,https://www.avto.net/Ads/details.asp?id=17647644&display=Opel%20Tigra,Opel Tigra Cosmo Twintop 1.4L,2005,185000,1200.0,avtonet,19934.0,1960.0
9,Opel,Tigra,Tigra,HATCHBACK,ROČNI,BENCIN,,5.0,90.0,66.0,1.389,https://www.avto.net/Ads/details.asp?id=17494859&display=Opel%20Tigra,Opel Tigra ,1995,144600,850.0,avtonet,19937.0,1960.0
10,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,150.0,110.0,1.91,https://www.avto.net/Ads/details.asp?id=17775424&display=Opel%20Vectra,Opel Vectra 1.9 CDTI 110KW-ODLIČNA-,2004,258000,1390.0,avtonet,19959.0,1961.0
11,Opel,Vectra,,,ROČNI,BENCIN,,,75.0,55.0,1.598,https://www.avto.net/Ads/details.asp?id=17772979&display=Opel%20Vectra,Opel Vectra 1.6i,1995,214600,900.0,avtonet,,
12,Opel,Vectra,,,AVTOMATSKI,BENCIN,,,140.0,103.0,1.796,https://www.avto.net/Ads/details.asp?id=17771376&display=Opel%20Vectra,Opel Vectra 1.8 16V EASYTRONIC ELEGANCE,2008,288465,2400.0,avtonet,,
13,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,BENCIN,,5.0,101.0,74.0,1.598,https://www.avto.net/Ads/details.asp?id=17758339&display=Opel%20Vectra,Opel Vectra 1.6-SLOV.POREKLO-1 LASTNIK-SAMO 129.700 KM-ODLIČNA,2004,129702,2190.0,avtonet,19953.0,1961.0
14,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,BENCIN,,5.0,101.0,74.0,1.598,https://www.avto.net/Ads/details.asp?id=17754948&display=Opel%20Vectra,Opel Vectra 1.6 16V COMFORT,2004,203000,850.0,avtonet,19953.0,1961.0
15,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,5.0,101.0,74.0,1.994,https://www.avto.net/Ads/details.asp?id=17754030&display=Opel%20Vectra,Opel Vectra 2.0DTI COSMO,2004,180000,390.0,avtonet,19961.0,1961.0
16,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,5.0,101.0,74.0,1.995,https://www.avto.net/Ads/details.asp?id=17748504&display=Opel%20Vectra,Opel Vectra 2.0DTI ESSENTIA,2004,305000,850.0,avtonet,19961.0,1961.0
17,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,125.0,92.0,2.172,https://www.avto.net/Ads/details.asp?id=17731423&display=Opel%20Vectra,Opel Vectra 1.9 CDTI 88KW ESSENTIA,2006,340000,1500.0,avtonet,19947.0,1961.0
18,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,5.0,101.0,74.0,1.994,https://www.avto.net/Ads/details.asp?id=17697156&display=Opel%20Vectra,Opel Vectra 2.0 DTI ELEGANCE,2003,220000,500.0,avtonet,19961.0,1961.0
19,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,150.0,110.0,1.91,https://www.avto.net/Ads/details.asp?id=17692938&display=Opel%20Vectra,Opel Vectra 1.9CDTI 110KW AUTO CARAVAN COMFORT EUR,2005,392000,1500.0,avtonet,19947.0,1961.0
20,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,120.0,88.0,1.91,https://www.avto.net/Ads/details.asp?id=17681628&display=Opel%20Vectra,Opel Vectra 1.9 CDTI 88KW ELEGANCE možna menjava,2005,332000,1890.0,avtonet,19947.0,1961.0
21,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,150.0,110.0,1.91,https://www.avto.net/Ads/details.asp?id=17625502&display=Opel%20Vectra,Opel Vectra 1.9CDTI 110KW AUTO CARAVAN COMFORT EUR,2005,350000,580.0,avtonet,19947.0,1961.0
22,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,5.0,125.0,92.0,2.172,https://www.avto.net/Ads/details.asp?id=17599341&display=Opel%20Vectra,Opel Vectra 2.2DTI ELEGANCE,2004,370568,350.0,avtonet,19963.0,1961.0
23,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,BENCIN,,5.0,101.0,74.0,1.598,https://www.avto.net/Ads/details.asp?id=17588701&display=Opel%20Vectra,Opel Vectra 1.6 16V COMFORT,2004,233000,1699.0,avtonet,19953.0,1961.0
24,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,120.0,88.0,1.91,https://www.avto.net/Ads/details.asp?id=17403918&display=Opel%20Vectra,Opel Vectra 1.9 CDTI GTS COSMO ,2007,330000,980.0,avtonet,19947.0,1961.0
25,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,6.0,150.0,110.0,1.91,https://www.avto.net/Ads/details.asp?id=17339072&display=Opel%20Vectra,Opel Vectra 1.9 CDTI 110KW COMFORT,2005,400000,1200.0,avtonet,19947.0,1961.0
26,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,BENCIN,,5.0,140.0,103.0,1.796,https://www.avto.net/Ads/details.asp?id=17271314&display=Opel%20Vectra,Opel Vectra 1.8 16V GTS,2008,223000,2900.0,avtonet,19941.0,1961.0
27,Opel,Vectra,Vectra Caravan,KARAVAN,ROČNI,DIEZEL,,5.0,101.0,74.0,1.995,https://www.avto.net/Ads/details.asp?id=16749397&display=Opel%20Vectra,Opel Vectra Karavan Elegance 2.0 DTI,2004,250524,400.0,avtonet,19961.0,1961.0
28,Opel,Vectra,,,ROČNI,BENCIN,,,150.0,110.0,1.998,https://www.avto.net/Ads/details.asp?id=16677455&display=Opel%20Vectra,Opel Vectra GT 2.0i 16V,1993,215000,2990.0,avtonet,,
29,Opel,Zafira,Zafira Tourer,KOMBI,ROČNI,DIEZEL,,6.0,136.0,100.0,1.598,https://www.avto.net/Ads/details.asp?id=17775585&display=Opel%20Zafira,Opel Zafira 1.6 CDTI-COSMO-XENON-NAVIGACIJA-LED-PDC-SERVISNA-K,2016,279003,6850.0,avtonet,19174.0,1912.0
30,Opel,Zafira,Zafira Tourer,KOMBI,ROČNI,DIEZEL,,6.0,136.0,100.0,1.598,https://www.avto.net/Ads/details.asp?id=17774510&display=Opel%20Zafira,Opel Zafira 1.6 CDTI 100KW S S COSMO-7SEDEŽEV+PANORAMA+2XPDC,2016,162666,11499.0,avtonet,19174.0,1912.0
31,Opel,Zafira,Zafira,KOMBI,ROČNI,DIEZEL,,6.0,125.0,92.0,1.686,https://www.avto.net/Ads/details.asp?id=17773077&display=Opel%20Zafira,Opel Zafira 1.7 CDTI 92KW COSMO 7 SEDEŽEV  ECOFLEX,2011,242000,4290.0,avtonet,19192.0,1912.0
