,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,BENCIN,,8.0,181.0,133.0,1.598,https://www.avto.net/Ads/details.asp?id=17724688&display=Peugeot%20508,Peugeot 508 1.6 THP 180 S S GT Line Avt.,2019,59096,30650.0,avtonet,20346.0,1991.0
1,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,6.0,181.0,133.0,1.997,https://www.avto.net/Ads/details.asp?id=17775463&display=Peugeot%20508,Peugeot 508 RXH 2.0 BlueHDi 180,2016,259000,15990.0,avtonet,20350.0,1991.0
2,Peugeot,508,508 SW,KARAVAN,ROČNI,DIEZEL,,6.0,150.0,110.0,1.997,https://www.avto.net/Ads/details.asp?id=17774723&display=Peugeot%20508,Peugeot 508 ALLURE 2.0 BlueHDi PANO-HEAD UP-KEYLESS GO-NAVI,2015,217008,8999.0,avtonet,20351.0,1991.0
3,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,8.0,177.0,130.0,1.997,https://www.avto.net/Ads/details.asp?id=17774300&display=Peugeot%20508,Peugeot 508 2.0 180 GT LINE LED|Night v.|360|Pano|Masaža|Focal,2019,53982,29500.0,avtonet,20344.0,1991.0
4,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,6.0,181.0,133.0,1.997,https://www.avto.net/Ads/details.asp?id=17774150&display=Peugeot%20508,Peugeot 508 ALLURE 2.0 BlueHDi 180 Stop Start EAT6,2016,99512,15900.0,avtonet,20350.0,1991.0
5,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,6.0,204.0,150.0,2.179,https://www.avto.net/Ads/details.asp?id=17773864&display=Peugeot%20508,Peugeot 508 GT 2.2 HDi 200 FAP AVTOMATIK.SLO. VSA OPREMA,2013,236245,7999.0,avtonet,20363.0,1991.0
6,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,6.0,204.0,150.0,2.179,https://www.avto.net/Ads/details.asp?id=17773507&display=Peugeot%20508,Peugeot 508 GT 2.2 HDi 200 FAP AVT°PANORAMA°MEMORY°LED°18COL,2011,290001,7750.0,avtonet,20363.0,1991.0
7,Peugeot,508,508 SW,KARAVAN,ROČNI,DIEZEL,,6.0,163.0,120.0,1.997,https://www.avto.net/Ads/details.asp?id=17769896&display=Peugeot%20508,Peugeot 508 ALLURE 2.0 HDi 160 FAP,2012,295000,6500.0,avtonet,20361.0,1991.0
8,Peugeot,508,508 SW,KARAVAN,ROČNI,DIEZEL,,5.0,114.0,84.0,1.56,https://www.avto.net/Ads/details.asp?id=17769745&display=Peugeot%20508,Peugeot 508 ACCESS 1.6 HDi-KREDIT ZA TUJCE BREZ POLOGA,2012,261000,6490.0,avtonet,20359.0,1991.0
9,Peugeot,508,508 SW,KARAVAN,AVTOMATSKI,DIEZEL,,6.0,114.0,84.0,1.56,https://www.avto.net/Ads/details.asp?id=17767841&display=Peugeot%20508,Peugeot 508 1.6 e-HDi 115 Full Led-F1-Navi-Panorama,2015,227000,8990.0,avtonet,20348.0,1991.0
