,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Abarth,595,,,ROČNI,BENCIN,,,179.0,132.0,1.368,https://www.avto.net/Ads/details.asp?id=17775668&display=Abarth%20595,Abarth 595 CABRIO-COMPETIZIONE-ESSEESSE-XE-NA-AKR-SABELT,2020,18509,28450.0,avtonet,,
1,Abarth,595,,,ROČNI,BENCIN,,,145.0,107.0,1.368,https://www.avto.net/Ads/details.asp?id=17775278&display=Abarth%20595,Abarth 595 1.4 T-JET 16v  MONZA PISTA IZPUH-5LET JAMSTVA,2021,17018,20990.0,avtonet,,
2,Abarth,595,,,ROČNI,BENCIN,,,145.0,107.0,1.368,https://www.avto.net/Ads/details.asp?id=17761643&display=Abarth%20595,Abarth 595 RACING MOD BIPOSTO zaključki CARPLAY. navigacija.P,2017,39760,18990.0,avtonet,,
3,Abarth,595,,,ROČNI,BENCIN,,,163.0,120.0,1.368,https://www.avto.net/Ads/details.asp?id=17758261&display=Abarth%20595,Abarth 595 TURISMO,2021,19000,24990.0,avtonet,,
4,Abarth,595,,,ROČNI,BENCIN,,,160.0,118.0,1.368,https://www.avto.net/Ads/details.asp?id=17758242&display=Abarth%20595,Abarth 595 COMPETIZIONE+SABELT+XENON+MONZA RECORD+NAVI,2014,75000,14999.0,avtonet,,
5,Abarth,595,,,AVTOMATSKI,BENCIN,,,140.0,103.0,1.39,https://www.avto.net/Ads/details.asp?id=17756144&display=Abarth%20595,Abarth 595 F1- ESSEESSE - VINJETA - AUT. - CABRIO ,2012,167000,12300.0,avtonet,,
6,Abarth,595,,,AVTOMATSKI,BENCIN,,,160.0,118.0,1.368,https://www.avto.net/Ads/details.asp?id=17754399&display=Abarth%20595,Abarth 595 1.4 T-Jet 16V MTA  Turismo ,2015,96971,15980.0,avtonet,,
7,Abarth,595,,,ROČNI,BENCIN,,,140.0,103.0,1.4,https://www.avto.net/Ads/details.asp?id=17752861&display=Abarth%20595,Abarth 595 ,2015,66200,14890.0,avtonet,,
8,Abarth,595,,,ROČNI,BENCIN,,,135.0,99.0,1.39,https://www.avto.net/Ads/details.asp?id=17747075&display=Abarth%20595,Abarth 595 ,2010,154000,9900.0,avtonet,,
9,Abarth,595,,,ROČNI,BENCIN,,,179.0,132.0,1.368,https://www.avto.net/Ads/details.asp?id=17745969&display=Abarth%20595,Abarth 595 Competizione | Monza Exhaust | Navi,2015,107000,17499.0,avtonet,,
10,Abarth,595,,,AVTOMATSKI,BENCIN,,,165.0,121.0,1.368,https://www.avto.net/Ads/details.asp?id=17727072&display=Abarth%20595,Abarth 595 Turismo,2017,12000,22500.0,avtonet,,
11,Abarth,595,,,ROČNI,BENCIN,,,140.0,103.0,1.4,https://www.avto.net/Ads/details.asp?id=17726061&display=Abarth%20595,Abarth 595 Record Monza izpušni sistem,2016,95000,14790.0,avtonet,,
12,Abarth,595,,,ROČNI,BENCIN,,,163.0,120.0,1.368,https://www.avto.net/Ads/details.asp?id=17708375&display=Abarth%20595,Abarth 595 595|MONZA EXHAUST|NAVI|BIXENON|PDC|17 col|,2017,22000,19900.0,avtonet,,
13,Abarth,595,,,ROČNI,BENCIN,,,179.0,132.0,1.368,https://www.avto.net/Ads/details.asp?id=17699044&display=Abarth%20595,Abarth 595 COMPETIZIONE,2021,12000,27500.0,avtonet,,
