,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
1130,VOLKSWAGEN,Golf Cabrio,Golf VI Cabrio,SPREMENLJIV,,DIEZEL,5,,,81.0,1.598,https://www.bolha.com/avto-oglasi/vw-golf-vii-bmt-comfortline-1.6-tdi-letnik-2015-km-11111-oglas-5524097,"VW Golf VII BMT Comfortline 1,6 tdi, letnik 2015, km 11111",2015.0,11111.0,,bolha,28055.0,2683.0
1131,AUDI,A4 Allroad,A4 Allroad,KARAVAN,AVTOMATSKI,DIEZEL,5,,,171.0,2.967,https://www.bolha.com/avto-oglasi/audi-a6-allroad-quattro-3.0-v6-tdi-tiptron-avt-letnik-2008-km-11111-oglas-5401317,"Audi A6 Allroad quattro 3.0 V6 TDI Tiptron avt,letnik 2008, km 11111",2008.0,11111.0,,bolha,2037.0,173.0
1132,RENAULT,Megane Cabriolet,Megane Coupe - Cabrio,SPREMENLJIV,,BENCIN,5,,,55.0,1.149,https://www.bolha.com/avto-oglasi/renault-clio-iii-1.2-16v-exception-letnik-2007-km-11111-oglas-5370600,"Renault Clio III 1.2 16V Exception, LETNIK 2007, KM 11111",2007.0,11111.0,,bolha,22405.0,2215.0
1133,VOLKSWAGEN,Sharan,Sharan,KOMBI,,DIEZEL,5,,,85.0,1.896,https://www.bolha.com/avto-oglasi/vw-sharan-1.9-tdi-trendline-oglas-5360661,"VW Sharan 1.9 TDI Trendline,LETNIK 2001, KM 11111",2001.0,11111.0,,bolha,27832.0,2655.0
1134,CITROEN,Berlingo,Berlingo X-TR,KOMBI,,DIEZEL,4,,,55.0,1.56,https://www.bolha.com/avto-oglasi/citro-n-berlingo-1.6-hdi-letnik-2016-km-11111-oglas-4934822,"Citroën Berlingo 1,6 HDI, LETNIK 2016, KM 11111",2006.0,11111.0,,bolha,6280.0,553.0
1135,RENAULT,Megane Cabriolet,Megane Coupe - Cabrio,SPREMENLJIV,,DIEZEL,2,,,96.0,1.87,https://www.bolha.com/avto-oglasi/renault-megane-cabriolet-renault-megane-con-1.9-dci-oglas-4908206,Renault Megane Cabriolet Renault Megane  Con 1.9 dCi,2006.0,11111.0,,bolha,22401.0,2215.0
1136,VOLKSWAGEN,Polo 5 Doors,Polo 5 Doors,HATCHBACK,,BENCIN,3,,,55.0,1.39,https://www.bolha.com/avto-oglasi/vw-polo-1.4-tdi-comfortline-letnik-2003-km-11111-oglas-4866078,"VW Polo 1.4  Comfortline, letnik 2003,km 11111",2003.0,11111.0,,bolha,26886.0,2627.0
1137,CITROEN,Xsara Picasso,Xsara Picasso,KOMBI,,BENCIN,5,,,80.0,1.587,https://www.bolha.com/avto-oglasi/citro-n-xsara-picasso-1.6i-16v-elegance-oglas-4832824,"Citroën Xsara Picasso 1.6i 16V Elegance, LETNIK 2006, KM 11111",2006.0,11111.0,,bolha,6935.0,608.0
1138,AUDI,A4 Avant,A4 Avant,KARAVAN,,DIEZEL,5,,,110.0,1.968,https://www.bolha.com/avto-oglasi/audi-a4-avant-2.0-tdi-letnik-2014-km-11111-oglas-4819883,"Audi A4 Avant 2.0 TDI, LETNIK 2014, KM 11111",2014.0,11111.0,,bolha,936.0,145.0
1139,Mercedes-Benz,C-klasa,180 Elegance,SPREMENLJIV,,BENCIN,5,,,95.0,1.998,https://www.bolha.com/avto-oglasi/mercedes-benz-c-klasa-180-elegance-letnik-2000-km-11111-oglas-4812677,"Mercedes-Benz C-klasa 180 Elegance, letnik 2000, km 11111",2000.0,11111.0,,bolha,,
1140,CITROEN,C4 Picasso,C4 Picasso,KOMBI,,DIEZEL,5,,,88.0,1.56,https://www.bolha.com/avto-oglasi/citro-n-c4-picasso-1.6-bluehdi-exclusive-oglas-4806413,Citroën C4 Picasso 1.6 BlueHDi S S Exclusive,2016.0,11111.0,0.0,bolha,6298.0,554.0
1141,FORD,C-Max,C-Max,KOMBI,,DIEZEL,5,,,85.0,1.56,https://www.bolha.com/avto-oglasi/ford-focus-c-max-grand-1.6-tdci-titanium-letnik-2014-km-11111-oglas-4784567,"Ford Focus C-Max  Grand 1.6 TDCi Titanium, letnik 2014, km 11111",2014.0,11111.0,,bolha,9656.0,968.0
1142,Toyota,Corolla, S D 1.4 VVT-i Terra,SPREMENLJIV,,BENCIN,5,,,71.0,1.398,https://www.bolha.com/avto-oglasi/toyota-corolla-d-1.4-vvt-terra-oglas-4765013,"Toyota Corolla  S D 1.4 VVT-i Terra, LETNIK 2005, KM 11111",2005.0,11111.0,,bolha,,
1143,FORD,C-Max,C-Max,KOMBI,,DIEZEL,5,,,70.0,1.56,https://www.bolha.com/avto-oglasi/ford-c-max-1.6-tdci-ambiente-letnik-2011-km-11111-oglas-4743454,"Ford C-Max 1.6 TDCi Ambiente,LETNIK 2011, KM 11111",2011.0,11111.0,,bolha,9656.0,968.0
