,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Porsche,718 Cayman,718 Cayman T,COUPÉ,AVTOMATSKI,BENCIN,,7.0,299.0,220.0,1.988,https://www.avto.net/Ads/details.asp?id=17757721&display=Porsche%20718%20Cayman,Porsche 718 Cayman CHRONO ATRAKTIVEN SAMO 46000km ODLIČEN,2018,46802,54950.0,avtonet,21458.0,2130.0
1,Porsche,718 Cayman,718 Cayman T,COUPÉ,AVTOMATSKI,BENCIN,,7.0,299.0,220.0,1.988,https://www.avto.net/Ads/details.asp?id=17745721&display=Porsche%20718%20Cayman,Porsche 718 Cayman 327kW  444KM ,2018,25000,67500.0,avtonet,21458.0,2130.0
2,Porsche,718 Cayman,718 Cayman (982C),COUPÉ,AVTOMATSKI,BENCIN,,7.0,349.0,257.0,2.497,https://www.avto.net/Ads/details.asp?id=17666907&display=Porsche%20718%20Cayman,Porsche 718 Cayman 2.5 CAYMAN S PDK PORSCHE APPROVED,2017,114500,54700.0,avtonet,21460.0,2130.0
3,Porsche,718 Cayman,718 Cayman T,COUPÉ,ROČNI,BENCIN,,6.0,420.0,309.0,3.995,https://www.avto.net/Ads/details.asp?id=17534930&display=Porsche%20718%20Cayman,Porsche 718 Cayman 4.0 CAYMAN GT4,2020,12500,135990.0,avtonet,21457.0,2130.0
4,Porsche,911,,,ROČNI,BENCIN,,,320.0,235.0,3.6,https://www.avto.net/Ads/details.asp?id=17708352&display=Porsche%20911,Porsche 911 4S 996,2003,105000,42000.0,avtonet,,
5,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17773755&display=Porsche%20911,Porsche 911 3.0 CARRERA 4 S COUPE PDK Matrix ACC 360,2020,24022,159990.0,avtonet,,
6,Porsche,911,,,AVTOMATSKI,BENCIN,,,581.0,427.0,3.745,https://www.avto.net/Ads/details.asp?id=17771025&display=Porsche%20911,Porsche 911 TURBO-580KM-1-LASTNIK-SLO-PANOR-CHRONO-KAMERA-21C,2021,15766,218911.0,avtonet,,
7,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17768144&display=Porsche%20911,Porsche 911 CARRERA S COUPE PDK +LED PANORAMA SPORT CRONO...,2019,42019,150000.0,avtonet,,
8,Porsche,911,,,ROČNI,BENCIN,,,300.0,221.0,3.4,https://www.avto.net/Ads/details.asp?id=17767867&display=Porsche%20911,Porsche 911 ,1999,162000,23900.0,avtonet,,
9,Porsche,911,,,ROČNI,BENCIN,,,320.0,235.0,3.596,https://www.avto.net/Ads/details.asp?id=17766053&display=Porsche%20911,Porsche 911 Carrera 4 Coupe SLO,2002,157000,36996.0,avtonet,,
10,Porsche,911,,,AVTOMATSKI,BENCIN,,,650.0,478.0,3.745,https://www.avto.net/Ads/details.asp?id=17765669&display=Porsche%20911,Porsche 911 3.7 TURBO S COUPE PDK - SLOVENSKO VOZILO,2021,12927,254992.0,avtonet,,
11,Porsche,911,,,AVTOMATSKI,BENCIN,,,480.0,353.0,3.6,https://www.avto.net/Ads/details.asp?id=17765429&display=Porsche%20911,Porsche 911 TURBO AUT. BOSE,2006,186782,74990.0,avtonet,,
12,Porsche,911,,,ROČNI,BENCIN,,,355.0,261.0,3.824,https://www.avto.net/Ads/details.asp?id=17761171&display=Porsche%20911,Porsche 911 Carrera S Coupe,2005,109940,51980.0,avtonet,,
13,Porsche,911,,,ROČNI,BENCIN,,,325.0,239.0,3.596,https://www.avto.net/Ads/details.asp?id=17751849&display=Porsche%20911,Porsche 911 Carrera Coupe,2006,87000,44997.0,avtonet,,
14,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17747391&display=Porsche%20911,Porsche 911 3.0 CARRERA 4S COUPE PDK,2019,78600,115000.0,avtonet,,
15,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17746246&display=Porsche%20911,Porsche 911 3.0 CARRERA S Coupe PDK,2019,42000,145900.0,avtonet,,
16,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17742195&display=Porsche%20911,Porsche 911 3.0 CARRERA 4 S COUPE PDK,2019,15162,169900.0,avtonet,,
17,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17730842&display=Porsche%20911,Porsche 911 3.0 CARRERA 4 S COUPE  VSA OPREMA,2020,25000,185000.0,avtonet,,
18,Porsche,911,,,AVTOMATSKI,BENCIN,,,355.0,261.0,3.824,https://www.avto.net/Ads/details.asp?id=17709701&display=Porsche%20911,Porsche 911 Carrera S Coupe,2005,59000,38200.0,avtonet,,
19,Porsche,911,,,AVTOMATSKI,BENCIN,,,400.0,294.0,3.8,https://www.avto.net/Ads/details.asp?id=17703109&display=Porsche%20911,Porsche 911 Carrera S SLO PDK nekaramboliran,2012,86000,89000.0,avtonet,,
20,Porsche,911,,,AVTOMATSKI,BENCIN,,,650.0,478.0,3.745,https://www.avto.net/Ads/details.asp?id=17703073&display=Porsche%20911,Porsche 911 3.7 TURBO S COUPE-BURMESTER-ACC-LANE-SLO-GARANCIJA,2022,23887,282000.0,avtonet,,
21,Porsche,911,,,AVTOMATSKI,BENCIN,,,400.0,294.0,3.8,https://www.avto.net/Ads/details.asp?id=17679077&display=Porsche%20911,Porsche 911 Carrera S - SLOVENSKO VOZILO,2012,130878,78990.0,avtonet,,
22,Porsche,911,,,AVTOMATSKI,BENCIN,,,510.0,375.0,3.996,https://www.avto.net/Ads/details.asp?id=17667729&display=Porsche%20911,Porsche 911 4.0 GT3 PDK. ClubSport Paket. Carbon. Lift system,2021,4350,244900.0,avtonet,,
23,Porsche,911,,,ROČNI,BENCIN,,,355.0,261.0,3.824,https://www.avto.net/Ads/details.asp?id=17666013&display=Porsche%20911,Porsche 911 Carrera 4S Coupe,2008,77000,53900.0,avtonet,,
24,Porsche,911,,,ROČNI,BENCIN,,,125.0,92.0,2.2,https://www.avto.net/Ads/details.asp?id=17662063&display=Porsche%20911,Porsche 911 T C Coupe,1971,195000,26911.0,avtonet,,
25,Porsche,911,,,ROČNI,BENCIN,,,204.0,150.0,2.994,https://www.avto.net/Ads/details.asp?id=17640207&display=Porsche%20911,Porsche 911 SC,1982,168000,36911.0,avtonet,,
26,Porsche,911,,,AVTOMATSKI,BENCIN,,,650.0,478.0,3.745,https://www.avto.net/Ads/details.asp?id=17619622&display=Porsche%20911,Porsche 911 3.7-650KM-TURBO S COUPE-SLO-2.500KM-MAX-OPREMA-..,2022,2445,296885.0,avtonet,,
27,Porsche,911,,,AVTOMATSKI,BENCIN,,,385.0,283.0,2.981,https://www.avto.net/Ads/details.asp?id=17610732&display=Porsche%20911,Porsche 911 3.0 CARRERA COUPE PDK,2021,3000,121911.0,avtonet,,
28,Porsche,911,,,ROČNI,BENCIN,,,300.0,221.0,3.4,https://www.avto.net/Ads/details.asp?id=17514399&display=Porsche%20911,Porsche 911 996,1998,120000,28000.0,avtonet,,
29,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17411492&display=Porsche%20911,Porsche 911 3.0 CARRERA 4S COUPE PDK NIGHT VISION RADAR,2019,56112,145990.0,avtonet,,
30,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17408802&display=Porsche%20911,Porsche 911 3.0 CARRERA 4 GTS COUPE PDK,2018,58066,129991.0,avtonet,,
31,Porsche,911,,,AVTOMATSKI,BENCIN,,,450.0,331.0,2.981,https://www.avto.net/Ads/details.asp?id=17405180&display=Porsche%20911,Porsche 911 3.0 CARRERA S COUPE PDK,2020,20500,149800.0,avtonet,,
32,Porsche,911,,,ROČNI,BENCIN,,,204.0,150.0,2.994,https://www.avto.net/Ads/details.asp?id=17399114&display=Porsche%20911,Porsche 911 930 SC,1982,132000,69999.0,avtonet,,
