,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
0,Nissan,Pathfinder,Pathfinder,SUV,ROČNI,DIEZEL,,6.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17759459&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi XE,2007,282000,7700.0,avtonet,18269.0,1833.0
1,Nissan,Pathfinder,Pathfinder,SUV,AVTOMATSKI,DIEZEL,,5.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17745699&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi SE,2005,270000,1900.0,avtonet,18267.0,1833.0
2,Nissan,Pathfinder,Pathfinder,SUV,ROČNI,DIEZEL,,6.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17743771&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi LE,2006,266100,7490.0,avtonet,18274.0,1833.0
3,Nissan,Pathfinder,Pathfinder,SUV,ROČNI,DIEZEL,,6.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17741483&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi LE,2005,350000,2650.0,avtonet,18274.0,1833.0
4,Nissan,Pathfinder,Pathfinder,SUV,ROČNI,DIEZEL,,6.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17700654&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi LE,2007,375000,4990.0,avtonet,18269.0,1833.0
5,Nissan,Pathfinder,Pathfinder,SUV,ROČNI,DIEZEL,,6.0,171,126.0,2.488,https://www.avto.net/Ads/details.asp?id=17640095&display=Nissan%20Pathfinder,Nissan Pathfinder 2.5 dCi LE,2006,385000,4999.0,avtonet,18274.0,1833.0
6,Nissan,Patrol,Patrol LWB,SUV,ROČNI,DIEZEL,,5.0,116,85.0,2.8,https://www.avto.net/Ads/details.asp?id=17744227&display=Nissan%20Patrol,Nissan Patrol ,1994,170000,5500.0,avtonet,18487.0,1849.0
7,Nissan,Pick Up,,,ROČNI,DIEZEL,,,133,98.0,2.488,https://www.avto.net/Ads/details.asp?id=17707262&display=Nissan%20Pick%20Up,Nissan Pick Up D22 D 25U - VLEČNA KLJUKA - ,2005,149767,8777.0,avtonet,,
8,Nissan,Pick Up,,,ROČNI,BENCIN,,,131,96.0,2.4,https://www.avto.net/Ads/details.asp?id=17699837&display=Nissan%20Pick%20Up,Nissan Pick Up D21,1996,170000,5000.0,avtonet,,
9,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,113,83.0,1.769,https://www.avto.net/Ads/details.asp?id=17775789&display=Nissan%20Primera,Nissan Primera 1.8 16V COMFORT PLUS - vzratna kamera - xenon,2002,298000,1490.0,avtonet,18567.0,1858.0
10,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,109,,,https://www.avto.net/Ads/details.asp?id=17752067&display=Nissan%20Primera,Nissan Primera ,2005,207000,1600.0,avtonet,18566.0,1858.0
11,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,116,85.0,1.769,https://www.avto.net/Ads/details.asp?id=17750878&display=Nissan%20Primera,Nissan Primera 1.8 ,2005,207000,1600.0,avtonet,18567.0,1858.0
12,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,99,73.0,1.597,https://www.avto.net/Ads/details.asp?id=17691576&display=Nissan%20Primera,Nissan Primera 1. Lastnik - Klima - ABS - 150.000 km,1997,150000,1490.0,avtonet,18576.0,1858.0
13,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,99,73.0,1.597,https://www.avto.net/Ads/details.asp?id=17660810&display=Nissan%20Primera,Nissan Primera 1.6 SLX 1. lastnik,1997,201178,1500.0,avtonet,18576.0,1858.0
14,Nissan,Primera,Primera Sedan,,ROČNI,BENCIN,,5.0,116,85.0,1.769,https://www.avto.net/Ads/details.asp?id=17332014&display=Nissan%20Primera,Nissan Primera Nissan Primera 1.8,2002,151000,1950.0,avtonet,18567.0,1858.0
