,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,id_razlicice,id_modela
35,Ford,Tourneo,Grand,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,88.0,1.499,https://www.bolha.com/avto-oglasi/ford-grand-tourneo-connect-1.5tdci-88kw-trend-oglas-9936336,FORD GRAND TOURNEO CONNECT 1.5TDCI 88KW Trend (glej opis),2017.0,100870.0,18440.0,9193,938
36,VW,Arteon,2.0 TDI R-Line Automatic,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,110.0,2.0,https://www.bolha.com/avto-oglasi/vw-arteon-2.0-tdi-r-line-automatic-oglas-10152563,VW Arteon 2.0 TDI R-Line Automatic,2019.0,110000.0,33700.0,26925,2629
37,Land Rover,Discovery Sport,HSE D4 150 KM 4WD 1.lastnik,TipVozila.SUV,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,110.0,1.999,https://www.bolha.com/avto-oglasi/land-rover-discovery-sport-hse-d4-150-km-4wd-1-lastnik-oglas-10152346,Land Rover Discovery Sport HSE D4 150 KM 4WD 1.lastnik,2016.0,151000.0,26999.0,13834,1445
38,VW,Passat,variant,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,110.0,1.968,https://www.bolha.com/avto-oglasi/vw-passat-variant-avtomatik-2.0-tdi-oglas-10152262,VW Passat variant avtomatik 2.0 / TDI,2018.0,143000.0,20500.0,27296,2638
39,Renault,Espace,Grand espace,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,6.0,,110.0,1.995,https://www.bolha.com/avto-oglasi/renault-espace-grand-espace-oglas-10151875,Renault Espace Grand espace,2009.0,430000.0,2750.0,22054,2204
40,Citroën,Evasion,N/A,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,,,85.0,18.0,https://www.bolha.com/avto-oglasi/citroen-evasion-diesel-deli-oglas-1582600,"Citroen Evasion, , diesel,DELI",1996.0,180000.0,,6774,591
41,Rover,400,N/A,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,,,85.0,16.0,https://www.bolha.com/avto-oglasi/rover-400-letnik-1998-18000-km-deli-oglas-1582859,"Rover 400, letnik 1998, 18000 km,DELI",1998.0,18000.0,,4921,338
42,VW,Golf III,rabbit,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,3,,,94.0,16.0,https://www.bolha.com/avto-oglasi/vw-golf-iii-rabbit-letnik-1998-bencin-deli-oglas-1576779,"VW Golf III rabbit, letnik 1998, bencin,DELI",1998.0,180000.0,,26253,2572
43,Peugeot,3008,2.0,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.DIEZEL,5,,,110.0,1.5,https://www.bolha.com/avto-oglasi/peugeot-3008-2.0-oglas-10084497,Peugeot 3008 2.0,2010.0,400000.0,500.0,20247,1987
44,Peugeot,207,"1,4",TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,54.0,1.36,https://www.bolha.com/avto-oglasi/peugeot-207-1.4-oglas-10151738,"Peugeot 207 1,4",2011.0,116000.0,4000.0,20576,2014
45,Smart,roadster,Cabrio tiptronic,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.BENCIN,2,,,60.0,698.0,https://www.bolha.com/avto-oglasi/smart-roadster-cabrio-tiptronic-avtomatik-oglas-10007023,Smart roadster Cabrio tiptronic avtomatik,2005.0,106500.0,4990.0,24633,2393
46,Nissan,Sunny,Grand prix 1.6 12V SLX 72000km,TipVozila.HATCHBACK,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,66.0,1.6,https://www.bolha.com/avto-oglasi/nissan-sunny-grand-prix-1.6-12v-slx-72000km-oglas-10150895,Nissan Sunny Grand prix 1.6 12V SLX,1991.0,78000.0,,18603,1863
